sgt_uniqueid,sgt_rank,sgt_dept,sgt_suprank,sgt_supdept,sup_uniqueid,sgt_deptid,sgt_male,sgt_white,sgt_tenure,sgt_politics,sgt_education,sgt_age,sgt_socialdominance1,sgt_socialdominance2,sgt_socialdominance3,sgt_socialdominance4,sgt_socialdominance5,sgt_socialdominance6,sgt_socialdominance7,sgt_selfevaluation1,sgt_selfevaluation2,sgt_selfevaluation3,sgt_selfevaluation4,sgt_selfevaluation5,sgt_selfevaluation6,sgt_selfevaluation7,sgt_selfevaluation8,sgt_selfevaluation9,sgt_selfevaluation10,sgt_selfevaluation11,sgt_selfevaluation12,sgt_fto_intfair1,sgt_fto_intfair2,sgt_fto_intfair3,sgt_fto_intfair4,sgt_fto_intfar5,sgt_fto_intfair6,sgt_fto_understoodneeds,sgt_ftogender,sgt_ftowhite,sgt_orgfair1,sgt_orgfair2,sgt_orgfair3,sgt_orgfair4,sgt_orgfair5,sgt_servlead1,sgt_servlead2,sgt_servlead3,sgt_servlead4,sgt_servlead5,sgt_servlead6,sgt_servlead7,sgt_psm5,sgt_occid2,sgt_psm1,sgt_occid1,sgt_occid3,sgt_psm2,sgt_occid4,sgt_psm4,sgt_psm3,sgt_supethguid1,sgt_supethguid2,sgt_supethguid3,sgt_supethguid4,sgt_supethguid5,sgt_strenuousexerciseweekly,sgt_moderateexerciseweekly,sgt_mildexerciseweekly,sgt_intfair1,sgt_intfair2,sgt_intfair3,sgt_intfair4,sgt_intfair5,sgt_intfair6,sgt_diversityclimate1,sgt_diversityclimate2,sgt_diversityclimate3,sgt_diversityclimate4,sgt_diversityclimate5,sgt_leaderintegrity1,sgt_leaderintegrity2,sgt_leaderintegrity3,sgt_leaderintegrity4,sgt_commdiversity1,sgt_commdiversity2,sgt_commdiversity3,sgt_commdiversity4,sgt_commdiversity5,sgt_monitored1,sgt_monitored2,sgt_monitored3,sgt_monitored4,sgt_monitored5,sgt_contactpressure,sgt_arrestpressure,sgt_policeasproblem,sgt_publicagree,sgt_publictruth,sgt_publichideinfo,sgt_homesafe,sgt_familyconcern,sgt_physicalharm,sgt_legalliability,sgt_verbalconfrontation,sgt_not applicable,sgt_morale_1,sgt_morale_2,sgt_morale_3,sgt_morale_4,sgt_morale_5,sgt_morale_6,sgt_proc_polic_5,sgt_empower_1,sgt_org_id_1,sgt_empower_2,sgt_comm_citizen_1,sgt_org_id_2,sgt_sgt_effective,sgt_empower_12,sgt_unit_politics_4,sgt_report_force_1,sgt_empower_3,sgt_felt_account_4,sgt_work_helps_comm_2,sgt_lt_effective,sgt_unit_politics_1,sgt_rule_bend_1,sgt_work_helps_comm_1,sgt_proc_polic_2,sgt_force_policy_2,sgt_empower_11,sgt_proc_polic_1,sgt_sgt_incivil_1,sgt_sgt_incivil_2,sgt_sgt_incivil_4,sgt_comm_citizen_3,sgt_empower_7,sgt_report_force_2,sgt_rule_bend_2,sgt_org_id_4,sgt_force_policy_1,sgt_force_policy_3,sgt_sgt_care_wellbeing,sgt_sgt_fail_to_notice,sgt_sgt_proud_mywork,sgt_lt_care_wellbeing,sgt_lt_fail_to_notice,sgt_lt_proud_mywork,sgt_lt_incivil_1,sgt_lt_incivil_2,sgt_lt_incivil_4,sgt_empower_4,sgt_rule_bend_3,sgt_proc_polic_3,sgt_rule_bend_4,sgt_comm_citizen_2,sgt_observed_excluded,sgt_observed_discrimated,sgt_you_excluded,sgt_you_discrimated,sgt_empower_9,sgt_different_myvisible_1,sgt_org_id_3,sgt_different_myvalues_2,sgt_empower_10,sgt_different_myeducation_3,sgt_proc_polic_4,sgt_career_regret,sgt_career_recommend,sgt_career_satisfaction,sgt_unit_listen,sgt_unit_reliable,sgt_burnout_1,sgt_felt_account_1,sgt_unit_politics_2,sgt_comm_citizen_4,sgt_felt_account_2,sgt_felt_account_3,sgt_woman_handle_duties,sgt_woman_not_suitable,sgt_woman_just_as_good,sgt_female_employee_preferential,sgt_minority_employee_preferential
1012_337_3,Sergeant,AIU,Lieutenant,AIU,1011_500_3,3,1,1,17,1,2,40,2,1,5,5,2,2,5,4,3,4,2,4,2,4,2,4,2,4,2,3,2,2,3,3,2,2,2,473,1,1,3,1,1,3,3,3,3,4,4,3,4,4,5,4,4,5,4,5,5,3,3,3,3,3,3,3,1,4,4,4,5,4,4,4,1,4,3,3,5,5,5,5,4,2,4,4,3,3,3,3,4,3,5,5,4,4,4,2,2,5,3,3,4,320,4,4,4,4,4,3,4,4,4,5,4,4,7,4,3,5,5,4,5,8,3,3,4,5,2,4,5,3,3,3,3,4,4,2,4,1,2,5,2,4,1,1,4,1,1,1,3,2,2,2,2,0,0,0,0,4,3,3,3,4,3,4,5,5,39,15,16,2,4,2,3,4,3,4,2,4,4,4
1007_337_3,Sergeant,AIU,Lieutenant,AIU,1011_500_3,3,1,1,19,1,4,46,1,1,4,4,5,4,1,2,4,4,4,5,1,4,2,4,5,5,1,4,3,4,5,4,4,2,2,473,1,1,1,1,1,5,3,4,3,4,3,5,4,2,4,3,2,5,3,4,4,3,4,4,4,4,0,1,2,3,5,5,5,4,5,5,1,5,5,2,5,5,5,5,4,2,4,4,3,2,3,2,2,2,1,1,4,4,4,2,2,2,2,2,3,309,3,4,3,3,2,2,3,5,4,4,1,2,8,5,3,5,2,4,3,8,5,5,3,4,2,2,3,2,3,3,2,5,3,2,3,2,3,5,1,5,5,1,5,1,1,1,3,1,1,1,4,0,0,0,0,5,2,3,3,4,3,3,1,1,36,15,14,3,5,5,3,4,4,1,5,1,5,5
1014_337_3,Sergeant,AIU,Lieutenant,AIU,1011_500_3,3,1,1,19,2,4,39,1,1,5,4,2,1,5,2,4,4,2,4,4,4,2,4,4,4,4,4,2,2,5,4,4,4,NA,474,1,1,2,3,1,2,2,2,2,4,2,4,3,2,5,5,4,5,3,5,5,3,3,3,4,3,6,2,2,4,5,5,5,4,4,5,1,4,4,4,4,4,4,4,4,1,4,4,4,2,4,3,3,2,4,4,4,3,3,3,4,4,2,4,4,330,3,3,3,4,3,2,4,5,4,5,5,4,7,5,2,5,5,4,5,8,2,2,4,5,2,4,5,2,2,2,4,5,4,2,4,1,2,4,2,4,4,2,4,1,1,2,4,2,1,1,5,0,0,1,1,4,3,4,2,5,4,5,4,4,38,15,16,2,5,2,3,2,2,5,1,5,5,5
1009_337_3,Sergeant,AIU,Lieutenant,AIU,1011_500_3,3,1,1,26,1,2,46,1,1,5,5,3,4,1,4,1,4,1,4,1,5,1,5,3,5,1,4,3,4,5,5,5,5,2,473,1,2,3,4,3,5,4,4,4,5,5,5,5,4,4,4,4,4,5,3,3,3,4,4,5,5,0,3,2,5,5,5,5,5,5,5,1,5,3,4,5,5,5,5,3,4,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,5,4,2,4,3,313,3,4,4,5,4,2,5,5,5,5,5,5,8,5,1,5,5,4,5,8,1,2,5,5,2,3,5,1,1,1,3,5,4,1,5,1,1,1,1,5,1,1,5,1,1,1,3,1,1,1,5,0,0,0,0,5,3,5,2,5,3,4,5,5,39,16,17,1,5,1,3,2,3,4,2,4,3,3
1016_337_3,Sergeant,AIU,Lieutenant,AIU,1011_500_3,3,1,1,22,2,2,42,3,1,5,5,1,1,5,5,3,4,4,5,2,5,3,4,5,5,1,4,4,4,4,4,4,4,2,473,3,3,5,5,3,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,4,4,5,5,5,4,3,0,4,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,1,3,3,3,5,5,5,5,5,1,1,4,1,4,3,1,2,2,3,2,381,3,3,3,3,3,5,3,5,5,5,2,5,8,5,5,5,4,4,4,8,1,1,4,5,1,4,4,1,1,1,4,4,5,1,5,1,1,5,1,5,5,1,5,1,1,1,4,1,1,1,5,0,0,0,0,4,1,5,1,5,1,5,5,5,39,17,17,3,5,1,3,1,5,4,2,4,3,3
1010_337_3,Sergeant,AIU,Lieutenant,AIU,1011_500_3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,5,NA,NA,NA,5,NA,5,NA,5,1,5,5,5,5,NA,1,NA,5,NA,NA,3,NA,1,1,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,5,NA,NA,5,5,39,NA,17,2,5,1,NA,3,4,NA,NA,NA,NA,NA
1015_337_3,Sergeant,AIU,Lieutenant,AIU,1011_500_3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,4,3,3,5,5,5,5,4,2,8,4,3,5,4,4,4,8,2,2,3,5,1,1,5,2,1,1,1,5,5,4,5,1,2,5,1,5,5,1,5,1,1,1,3,3,1,1,4,0,0,0,0,3,2,5,1,5,4,5,5,5,39,17,17,2,5,1,1,1,4,5,1,5,3,3
1008_337_3,Sergeant,AIU,Lieutenant,AIU,1011_500_3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,4,2,3,4,5,4,5,4,3,8,4,3,4,4,4,4,8,1,1,4,5,1,3,5,1,1,1,3,2,3,2,3,1,2,4,2,3,4,1,2,1,1,1,4,2,1,2,3,0,0,0,0,4,4,4,2,4,3,4,4,5,38,15,16,2,4,2,2,2,4,4,2,4,3,3
1055_356_6,Sergeant,Aviation,Staff Lieutenant,Aviation,1045_598_6,6,NA,NA,24,NA,NA,49,4,1,2,5,4,1,4,4,2,4,2,4,3,4,2,4,2,4,2,3,2,4,3,3,4,3,2,473,2,2,3,3,3,4,4,3,4,4,4,4,4,4,4,4,5,4,4,4,4,2,3,4,4,3,1,2,2,2,4,3,4,3,4,4,2,4,4,4,4,4,4,4,4,2,4,4,4,3,4,3,3,3,2,2,3,4,4,2,4,4,5,4,3,312,3,4,4,5,3,5,4,5,4,5,3,5,9,4,4,5,3,4,4,9,4,2,4,4,2,4,4,1,1,1,4,4,4,2,4,2,2,4,2,4,4,2,4,2,2,2,4,2,2,2,4,0,0,0,0,4,2,4,2,4,2,4,2,4,38,15,16,3,4,3,3,3,4,4,2,4,3,3
1049_356_6,Sergeant,Aviation,Staff Lieutenant,Aviation,1045_598_6,6,1,1,19,1,3,44,3,1,2,4,2,4,2,4,2,4,1,5,3,5,1,4,2,5,2,4,4,4,4,5,5,4,2,473,2,2,4,2,3,5,5,4,4,4,4,5,4,5,5,5,5,5,5,5,5,4,4,5,5,4,1,1,4,5,5,5,5,5,5,5,1,5,5,4,5,5,5,5,5,2,4,4,3,3,4,4,4,4,1,1,4,3,3,3,2,2,5,4,3,363,3,3,3,4,3,3,4,5,4,4,4,4,8,4,4,5,5,4,4,8,4,1,4,4,2,4,4,1,1,1,4,4,5,2,4,2,2,1,1,4,4,1,4,1,1,1,4,2,1,1,4,0,0,0,0,4,1,4,2,4,3,4,5,5,39,16,16,2,5,3,4,4,4,5,1,5,3,3
1069_527_7,Sergeant,CapitolOperations,Lieutenant,Capitol Operations,1087_501_7,7,1,0,21,2,2,43,3,1,4,4,3,3,3,3,2,4,1,4,3,4,2,4,3,4,1,4,4,4,4,4,4,4,2,473,3,3,3,4,3,3,4,3,3,3,4,4,3,4,5,3,4,5,5,5,3,3,4,4,4,4,4,1,1,2,3,3,3,3,2,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,4,4,4,4,2,2,4,3,4,4,3,4,2,3,4,318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1090_527_7,Sergeant,CapitolOperations,Lieutenant,Capitol Operations,1087_501_7,7,1,0,31,2,4,56,1,1,5,5,1,1,5,2,1,4,1,4,4,5,1,4,2,4,2,4,3,3,4,4,4,4,2,473,1,1,1,1,1,5,5,5,5,5,5,5,5,3,4,3,3,5,3,4,4,3,5,5,5,5,1,2,5,5,5,5,5,5,5,3,4,2,2,1,5,5,5,5,4,2,4,4,4,4,5,5,5,4,5,5,4,3,3,3,5,5,5,5,4,346,2,4,3,4,3,4,4,5,4,5,2,4,8,5,4,5,1,2,5,8,5,1,5,5,2,4,5,1,1,1,3,4,5,2,5,1,1,5,1,2,5,1,4,2,2,2,4,1,1,1,5,0,0,0,1,5,3,5,3,5,3,5,5,5,39,15,16,2,5,4,2,3,5,5,1,5,1,1
1082_527_7,Sergeant,CapitolOperations,Lieutenant,Capitol Operations,1087_501_7,7,1,1,14,1,2,47,3,3,4,4,2,2,4,4,4,4,4,4,4,4,2,4,2,4,2,4,4,4,4,4,4,4,2,473,2,2,2,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,2,2,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,2,2,4,3,3,3,4,4,3,3,3,330,4,4,4,4,3,4,4,4,4,4,3,4,8,4,3,4,4,4,4,8,2,2,4,4,4,4,4,1,1,2,3,4,4,2,4,4,4,5,2,4,5,2,4,1,1,1,4,2,2,2,4,0,0,0,0,3,2,5,4,4,2,4,3,3,38,16,16,2,5,2,2,2,1,4,2,4,4,4
1093_527_7,Sergeant,CapitolOperations,Lieutenant,Capitol Operations,1087_501_7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,4,4,3,5,5,5,5,5,3,5,5,5,5,5,5,5,5,3,2,4,5,2,4,4,3,3,2,4,3,4,2,4,1,4,3,3,3,3,3,3,1,1,1,4,2,2,2,4,0,0,0,0,4,3,4,2,4,3,4,4,2,39,16,16,1,4,3,4,2,3,5,1,5,3,3
1249_612_16,Sergeant,CrimeLab,Lieutenant,Crime Lab,1252_604_16,16,1,1,19,1,2,42,1,1,5,5,1,1,5,1,4,2,4,5,5,2,3,2,4,4,4,4,4,4,4,3,4,4,2,473,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,5,4,5,3,3,1,1,1,1,1,2,0,1,1,4,2,4,1,4,5,1,5,5,1,2,2,2,2,5,1,5,5,5,2,5,2,3,3,5,5,3,4,4,3,3,3,2,2,2,275,2,2,1,1,1,1,4,4,4,1,1,5,2,4,3,1,3,2,1,NA,4,3,1,5,3,3,4,2,1,4,3,4,4,3,4,2,2,1,4,2,NA,NA,NA,NA,NA,NA,3,2,2,3,3,0,0,0,0,4,2,4,3,3,3,4,1,1,35,17,17,4,4,3,3,4,2,4,2,5,5,5
1260_369_18,Sergeant,CriminalPatrol,Lieutenant,Criminal Patrol,1259_439_18,18,1,1,15,4,1,36,3,3,3,3,3,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,474,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,1,1,1,1,1,1,3,3,3,3,3,1,1,1,1,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,NA,1,1,5,5,5,231,3,3,3,1,2,5,5,5,3,1,3,5,2,5,3,5,3,3,3,5,4,2,3,5,1,4,3,2,3,4,3,5,4,3,4,2,1,2,5,3,3,2,4,2,2,4,3,3,1,2,4,0,0,1,0,5,3,5,3,5,3,4,4,2,37,14,17,3,4,4,3,4,4,4,1,5,4,4
1260_369_18,Sergeant,CriminalPatrol,Lieutenant,Criminal Patrol,1259_439_18,18,1,1,15,4,1,36,3,1,5,5,2,3,2,4,4,5,2,4,4,4,2,4,3,4,2,3,2,3,4,3,2,2,2,473,1,1,1,3,1,4,3,4,4,5,5,5,3,3,4,5,5,5,3,5,5,2,2,3,3,3,0,3,3,5,4,4,5,4,4,5,1,4,4,1,4,4,4,4,5,1,4,4,4,3,5,4,5,4,5,4,4,3,3,2,2,4,5,5,5,338,3,3,3,1,2,5,5,5,3,1,3,5,2,5,3,5,3,3,3,5,4,2,3,5,1,4,3,2,3,4,3,5,4,3,4,2,1,2,5,3,3,2,4,2,2,4,3,3,1,2,4,0,0,1,0,5,3,5,3,5,3,4,4,2,37,14,17,3,4,4,3,4,4,4,1,5,4,4
1273_581_18,Sergeant,CriminalPatrol,Staff Lieutenant,Criminal Patrol,1272_458_18,18,1,1,8,4,4,33,2,1,5,5,1,1,5,5,1,4,1,5,1,5,1,4,1,5,1,5,4,5,5,5,5,5,2,473,5,5,5,5,5,3,3,3,3,5,3,5,5,5,5,5,3,5,3,5,5,2,1,4,4,4,2,NA,3,3,3,4,5,4,4,5,1,5,5,5,5,5,5,5,5,1,5,5,5,3,4,3,5,3,1,1,4,4,4,4,2,4,5,5,3,367,4,5,5,5,5,4,5,5,5,5,3,5,2,5,5,5,5,3,5,8,2,1,5,5,1,5,5,3,1,3,3,5,4,1,4,1,1,3,3,3,4,1,5,1,1,1,5,1,1,1,3,0,0,0,0,3,2,4,2,5,3,5,5,5,39,17,17,1,4,1,3,3,3,4,1,5,1,1
1270_369_18,Sergeant,CriminalPatrol,Lieutenant,Criminal Patrol,1259_439_18,18,1,1,27,1,2,51,NA,NA,NA,NA,NA,NA,NA,4,4,4,3,3,4,4,2,4,2,4,2,3,3,3,4,3,4,3,2,473,2,2,4,4,3,2,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,5,1,2,2,3,3,3,3,4,5,2,4,4,4,4,4,4,4,4,2,3,4,4,3,4,4,5,4,3,3,3,2,3,3,2,3,5,5,4,302,5,4,4,4,4,4,4,4,3,4,4,4,5,4,4,5,4,4,4,5,4,2,4,4,2,4,4,2,2,2,3,3,3,3,4,2,3,2,2,4,3,2,3,2,2,2,4,3,2,2,4,0,0,0,0,4,3,4,2,4,3,4,3,3,36,15,16,3,5,4,3,4,4,4,2,4,4,4
1268_581_18,Sergeant,CriminalPatrol,Staff Lieutenant,Criminal Patrol,1272_458_18,18,1,1,14,4,2,42,3,3,1,3,3,3,3,4,3,4,2,4,1,5,1,5,1,5,1,5,4,5,5,5,5,5,2,473,2,2,4,4,3,3,2,3,3,3,3,5,5,5,5,5,3,5,3,5,3,2,1,1,4,1,NA,3,5,4,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,1,5,5,5,4,5,4,4,4,1,1,5,1,2,4,4,4,5,5,2,353,1,3,4,5,3,3,4,4,5,5,4,3,3,4,3,5,5,4,5,5,3,2,5,5,1,4,5,2,1,1,3,2,4,1,3,1,2,2,3,3,3,3,3,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1271_581_18,Sergeant,CriminalPatrol,Staff Lieutenant,Criminal Patrol,1272_458_18,18,1,0,30,2,2,55,1,1,5,5,3,1,3,4,4,4,4,5,4,4,2,4,2,4,4,5,5,5,5,5,5,5,2,473,2,5,2,4,4,2,3,2,2,4,3,1,4,5,5,5,5,5,4,4,5,1,1,2,2,2,3,0,1,3,3,3,3,3,4,5,1,5,5,5,3,3,3,3,3,4,4,3,2,3,4,3,3,3,3,3,4,2,2,4,2,3,5,5,3,325,3,5,5,5,3,4,5,5,5,5,3,4,2,5,4,4,5,4,4,2,5,3,4,5,1,4,5,3,2,1,4,4,2,2,4,2,1,3,3,3,1,4,1,1,4,3,4,2,1,1,5,0,0,0,0,5,2,4,4,5,3,5,5,5,39,15,15,4,4,4,3,1,1,5,1,5,3,3
1263_369_18,Sergeant,CriminalPatrol,Lieutenant,Criminal Patrol,1259_439_18,18,0,1,21,1,2,40,2,2,4,4,4,2,4,4,4,4,1,5,2,5,1,5,1,4,1,3,3,3,3,3,3,3,2,473,2,1,4,2,2,2,4,2,2,5,5,5,2,5,5,5,3,4,3,5,4,3,3,3,5,3,2,6,2,4,4,4,4,3,4,4,2,2,3,4,4,3,3,3,4,2,3,4,4,4,4,3,4,4,1,3,3,3,4,3,2,4,2,3,3,315,4,4,4,5,4,5,5,5,5,5,5,4,7,5,4,5,5,2,5,7,4,2,5,4,2,2,5,2,2,3,5,5,5,3,4,2,2,4,2,4,4,2,4,2,2,3,4,4,1,1,4,1,1,1,1,4,4,2,2,5,2,5,3,4,38,15,15,3,5,2,4,2,4,5,1,5,4,4
1265_581_18,Sergeant,CriminalPatrol,Staff Lieutenant,Criminal Patrol,1272_458_18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,4,3,3,5,5,5,5,5,5,7,5,4,4,4,4,4,8,3,3,5,5,3,4,5,1,1,2,3,3,4,3,4,3,3,3,3,3,3,2,3,1,1,1,3,3,2,2,4,0,0,0,0,4,3,3,3,4,2,4,3,4,38,15,15,3,5,2,3,3,3,3,3,3,3,3
1257_581_18,Sergeant,CriminalPatrol,Staff Lieutenant,Criminal Patrol,1272_458_18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,5,4,4,5,4,5,4,3,4,4,4,4,5,4,4,4,5,3,2,4,4,2,3,5,2,1,1,3,4,4,3,5,1,2,4,2,2,4,2,4,1,1,1,3,3,1,1,4,0,0,0,0,3,2,5,2,4,3,5,2,3,38,16,16,2,4,2,3,2,2,4,1,5,5,5
1262_369_18,Sergeant,CriminalPatrol,Lieutenant,Criminal Patrol,1259_439_18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,4,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,2,1,4,5,2,5,5,2,2,2,5,5,5,3,2,3,4,2,2,3,2,4,3,1,1,3,5,3,1,2,5,0,0,0,0,5,1,2,3,5,4,5,2,2,38,17,16,2,5,3,4,3,3,2,3,3,1,1
1316_611_22,Sergeant,D1CriminalPatrol,Lieutenant,D1 Criminal Patrol,1323_581_22,22,1,1,18,2,2,43,3,1,5,4,3,3,3,4,4,4,3,4,4,4,4,4,3,4,2,3,3,3,5,5,5,3,2,473,1,2,1,2,1,5,4,5,5,4,5,5,4,4,5,5,5,5,4,5,5,4,5,5,5,5,3,2,1,5,5,5,5,5,5,5,1,5,5,3,5,5,5,5,4,1,4,4,3,4,5,5,5,5,5,3,5,2,2,4,2,3,2,4,3,371,2,4,2,3,2,4,5,4,5,4,3,5,9,3,1,5,3,3,4,1,1,2,5,5,1,4,5,1,1,1,4,3,5,1,5,1,2,5,1,5,1,5,1,3,3,5,4,1,1,1,5,0,0,0,0,4,1,5,1,5,2,5,4,2,36,17,17,5,5,1,4,2,2,4,1,4,5,5
1342_345_25,Sergeant,D1Investigations,Staff Lieutenant,OFFICE INVESTIGATIVE SERVS,3372_445_170,25,1,1,21,2,2,44,3,1,5,5,5,4,2,4,3,4,2,4,2,4,2,4,3,4,3,4,4,4,4,4,4,4,2,473,1,4,4,1,2,4,4,4,2,4,4,4,4,2,4,3,4,4,4,4,2,2,3,3,3,3,0,7,7,4,4,4,4,4,4,4,1,5,4,2,4,4,4,4,4,1,4,4,3,2,4,4,4,4,2,1,2,1,3,3,1,1,2,4,3,317,2,4,4,4,2,3,4,5,3,5,3,5,6,5,4,5,4,4,5,5,2,2,5,5,2,5,5,1,1,1,3,5,3,2,5,1,1,1,1,4,4,1,4,1,1,1,4,2,2,2,3,0,0,0,1,1,3,5,1,5,2,4,4,4,38,16,16,3,5,2,3,2,2,4,2,4,4,4
