POST,avgage,avgwhite,avgtenure,avgorgfarir1,avgorgfair2,avgservlead1,avgpsm1,avgintfair2,avgintfair6,avgdiversityclimate1,avgdiversityclimate3,avgcontactpressure,avgarrestpressure,avgphysicalharm,avgverbalconfrontation,avgdobserved_excluded,avgobserved_discrimated,avgyou_excluded,avgyou_discrimated,orgfair1agree,orgfair2agree,servlead2agree,psm1agree,intfair2agree,intfair6agree,diversityclimate1agree,diversityclimate3agree,diversityclimate4agree,contactpressureagree,arrestpressureagree,physicalharmagree,verbalconfrontationagree,morale_3agree,morale_4agree,empower_2agree,work_helps_comm_2agree,force_policy_2agree,comm_citizen_3agree,force_policy_3agree,career_satisfactionagree,burnout_1agree,woman_not_suitableagree
62,37.75,0.625,11.83333,2.416667,3.083333,4,4.083333,4.083333,4,4.083333,3.833333,3.333333,3.416667,2.666667,1.833333,0.8461539,0.8461539,0.8461539,0.8461539,0.0625,0.3125,0.5,0.5625,0.5,0.5,0.5625,0.4375,0.3125,0.3125,0.3125,0.25,0,0.3125,0.5625,0.6875,0.625,0.625,0.0625,0.125,0.5625,0.125,0.5
63,39.25,0.9166667,14.58333,2.5,2.833333,3.666667,3.916667,3.5,3.75,3.916667,3.75,2.583333,2.916667,2.916667,2.5,0.9090909,1,0.8181818,0.9090909,0.25,0.3333333,0.5,0.75,0.5,0.6666667,0.75,0.6666667,0.5,0.1666667,0.3333333,0.25,0.0833333,0.0833333,0.5,0.75,0.3333333,0.5,0.1666667,0.1666667,0.3333333,0.0833333,0.5
66,47.57143,0.875,24.57143,2,2,3,4,3,3.142857,4.142857,3.857143,1.833333,1.666667,3.333333,2.5,1,1,1,1,0.125,0.125,0.25,0.625,0.375,0.375,0.75,0.75,0.625,0,0,0.5,0.25,0.375,0.5,0.5,0.625,0.5,0.125,0,0.375,0.25,0.5
67,44,0.5,17,2,2,4,5,4,4,4,4,1,1,1,3,1,1,1,1,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,1,1,1,1,1,0.5,0,1,0,0.5
69,42.25,1,18.25,2.25,2,2.25,4,3,2.5,4.25,3.5,2.5,2.5,3.5,2.5,0.5,0.5,1,1,0.25,0,0,0.75,0,0,1,0.5,0.5,0.25,0.25,0.5,0,0.25,0.25,0.5,0.5,0.5,0.25,0.25,0.25,0,0.5
71,37.5,0.5714286,14.25,1.75,1.5,2.75,4,4.25,4.25,3.75,4.5,2,2.5,3.5,2,1,1,1,1,0,0,0.1428571,0.4285714,0.5714286,0.5714286,0.4285714,0.5714286,0.2857143,0.1428571,0.2857143,0.2857143,0,0.2857143,0.7142857,0.7142857,0.4285714,0.5714286,0.2857143,0.1428571,0.5714286,0.1428571,0.5714286
72,37.92308,0.6666667,11.53846,3.076923,2.307692,3.153846,4.076923,3.615385,3.916667,4.166667,4.166667,2.083333,2.25,3.083333,2,0.8333333,0.8333333,0.8333333,0.8333333,0.4,0.0666667,0.2666667,0.8,0.5333334,0.6,0.6666667,0.7333333,0.6666667,0,0.0666667,0.4666667,0.1333333,0.4,0.7333333,0.7333333,0.6,0.5333334,0.1333333,0.1333333,0.4666667,0,0.6
73,36.18182,0.7333333,12.27273,2.666667,2.5,3.583333,4.416667,4,3.916667,4.5,4.083333,1.583333,2.166667,2.916667,2.166667,0.9,0.9,0.9,0.9,0.2,0.1333333,0.5333334,0.8,0.6,0.5333334,0.8,0.6,0.7333333,0,0.1333333,0.4666667,0,0.4,0.5333334,0.5333334,0.4666667,0.4,0.2,0.0666667,0.4666667,0,0.2666667
74,33.66667,0.6,9.666667,3,2.875,3.5,4,3.375,3.25,4,3.75,2,2,3.375,2,0.8571429,0.8571429,0.8333333,0.8571429,0.3,0.3,0.4,0.7,0.4,0.3,0.7,0.7,0.4,0,0,0.5,0,0.1,0.5,0.3,0.3,0.4,0,0.2,0.5,0,0.5
75,39.90909,0.7142857,13.18182,1.909091,2.818182,4,4.363636,4.090909,3.909091,4.545455,4.272727,1.818182,2.454545,2.454545,2.272727,1,1,1,1,0.0714286,0.2857143,0.7142857,0.7142857,0.6428571,0.5714286,0.7857143,0.6428571,0.5,0,0.0714286,0.1428571,0,0.5,0.6428571,0.7142857,0.6428571,0.6428571,0.2142857,0,0.6428571,0,0.5714286
76,36.13334,1,12.6,2.533333,2.4,3.133333,4.2,3.357143,3.285714,4.2,3.8,2.571429,2.642857,3.214286,2.428571,0.9285714,0.9285714,1,1,0.2,0.0666667,0.3333333,0.8666667,0.3333333,0.3333333,0.8666667,0.6666667,0.6,0.1333333,0.2,0.6,0.0666667,0.4666667,0.6,0.7333333,0.6,0.5333334,0.2,0.0666667,0.6666667,0.0666667,0.5333334
77,43.45454,0.4166667,17.72727,2.909091,2.818182,3.545455,4.272727,3.909091,3.818182,4.181818,4,2.545455,3.181818,3.363636,2.363636,0.9,0.8,0.7,0.5,0.25,0.3333333,0.5,0.9166667,0.6666667,0.5833333,0.75,0.6666667,0.6666667,0.1666667,0.4166667,0.6666667,0.1666667,0.5,0.75,0.75,0.6666667,0.4166667,0.25,0.0833333,0.6666667,0,0.5
81,47.09091,0.8181818,16.27273,3.181818,3.272727,3.181818,4.272727,4.181818,3.909091,4.454545,4,2.9,4.1,3,2.5,1,0.6666667,1,1,0.4545455,0.5454546,0.3636364,0.9090909,0.9090909,0.8181818,1,0.8181818,0.7272727,0.0909091,0.6363636,0.5454546,0.1818182,0.0909091,0.2727273,0.2727273,0.0909091,0.2727273,0,0.0909091,0.2727273,0,0.1818182
82,48,0.5,25,3,4,3,4,3,3,4,4,3,3,4,2,1,1,1,0.5,0,0.5,0,0.5,0,0,0.5,0.5,0.5,0,0,0.5,0,1,1,0.5,0.5,0,0,0,0.5,0,1
85,35.33333,1,11.66667,3,3.333333,3,4,3.333333,3,4,3.333333,3.333333,3,3.666667,3.333333,1,1,1,1,0.6666667,0.6666667,0.3333333,1,0.3333333,0.3333333,0.6666667,0.6666667,0.6666667,0.6666667,0.3333333,0.6666667,0.3333333,0,0.3333333,0.6666667,0,0.3333333,0,0,0.3333333,0,0.6666667
87,35.875,0.8125,13.875,2.875,3.125,3.4375,4.3125,3.625,3.5625,4.375,4.0625,2.3125,2.6875,2.6875,2.125,0.8333333,0.9166667,0.8333333,0.75,0.3125,0.4375,0.625,0.9375,0.625,0.6875,1,0.875,0.625,0.1875,0.1875,0.4375,0.0625,0.25,0.5625,0.4375,0.375,0.3125,0.125,0,0.4375,0.25,0.6875
88,37,0.6470588,12.28571,3.230769,3.384615,2.923077,4.153846,3.357143,3.5,4.076923,3.846154,2.384615,2.384615,2.923077,2.153846,1,1,1,1,0.4117647,0.4117647,0.1764706,0.7058824,0.3529412,0.4117647,0.7058824,0.5882353,0.4117647,0.1764706,0.1764706,0.2941177,0,0.2941177,0.5294118,0.5882353,0.2352941,0.4117647,0.1764706,0.1176471,0.3529412,0.0588235,0.5294118
89,36.42857,0.4,11.85714,3.125,2.625,4.25,4.375,4.625,4.375,4.625,4.25,2.625,3,3.125,2.5,0.9230769,1,0.9230769,0.8461539,0.2666667,0.1333333,0.4666667,0.5333334,0.5333334,0.5333334,0.5333334,0.5333334,0.3333333,0.1333333,0.1333333,0.2,0.0666667,0.4666667,0.8,0.8,0.6666667,0.6666667,0.2,0.2666667,0.6,0.2,0.5333334
90,38.07143,0.6470588,14.42857,2.714286,2.928571,3.714286,4.071429,4.285714,3.714286,4.142857,4.142857,2,2.357143,2.846154,2.153846,1,1,1,1,0.2352941,0.2941177,0.5294118,0.7647059,0.7647059,0.5882353,0.6470588,0.6470588,0.5294118,0.0588235,0.1176471,0.3529412,0,0.1176471,0.5882353,0.5882353,0.5294118,0.3529412,0.1176471,0.2352941,0.5294118,0.2352941,0.5294118
91,37.1,0.625,14.1,1.923077,2.230769,3.230769,4,3.153846,2.769231,4.583333,4.333333,1.923077,2.230769,2.461539,2.076923,0.7142857,0.7857143,0.7857143,0.7857143,0.0625,0.125,0.375,0.6875,0.375,0.25,0.75,0.625,0.5625,0.0625,0.125,0.3125,0.125,0.375,0.3125,0.5,0.5625,0.625,0.125,0.0625,0.5625,0.125,0.8125
92,37.55556,0.5714286,13.55556,2.5,2.4,3.4,3.9,4.1,4.1,4.4,4.3,1.7,2.1,2.4,2.3,0.9285714,0.9285714,0.9285714,0.9285714,0.1428571,0.1428571,0.2857143,0.5,0.6428571,0.5,0.6428571,0.6428571,0.5,0,0,0.1428571,0,0.4285714,0.6428571,0.7142857,0.5,0.4285714,0.2142857,0.1428571,0.5,0.1428571,0.7142857
94,47,0.3333333,15.66667,3.333333,2.833333,3.333333,4.5,4.5,4,4.5,3.666667,3.333333,3.666667,2,2.333333,0.8571429,0.8571429,0.8571429,0.8571429,0.3333333,0.3333333,0.3333333,0.6666667,0.5555556,0.4444444,0.6666667,0.4444444,0.2222222,0.2222222,0.4444444,0.2222222,0.1111111,0.3333333,0.7777778,0.6666667,0.5555556,0.5555556,0,0,0.6666667,0,0.7777778
95,37.25,0.8,15.5,2.5,2.25,3.25,4,3.5,3.75,4.5,4.5,4,3.25,2.5,2,0.8,0.8,1,1,0.2,0,0.4,0.6,0.4,0.6,0.8,0.8,0.6,0.6,0.4,0.4,0,0.2,0.4,0.6,0.6,0.4,0.2,0.2,0.6,0.2,1
98,43.16667,1,15,2.833333,2.833333,3.4,4.333333,3.833333,3.833333,4.333333,3.833333,3,3.2,3.5,3.333333,1,1,1,1,0.3333333,0.1666667,0.3333333,0.8333333,0.6666667,0.6666667,0.8333333,0.6666667,0.5,0.3333333,0.3333333,0.5,0.3333333,0.1666667,0.6666667,0.8333333,0.5,0.6666667,0.3333333,0.1666667,0.6666667,0.1666667,0.6666667
99,34.07692,0.75,10.46154,3.071429,3,3.214286,4.615385,3.846154,4,4.538462,4,2.428571,2.714286,2.714286,2.142857,1,1,1,1,0.4375,0.4375,0.3125,0.8125,0.5625,0.5625,0.75,0.625,0.5,0.1875,0.25,0.25,0.125,0.25,0.5625,0.6875,0.5625,0.5625,0.125,0.1875,0.625,0.125,0.625
100,37.1,0.5333334,12.8,2.8,3,4,4.6,3.9,3.6,4.6,4.4,1.7,2.1,2.5,2.3,0.9230769,1,0.7692308,0.9230769,0.2666667,0.3333333,0.4666667,0.6666667,0.4666667,0.4666667,0.6666667,0.6,0.5333334,0.0666667,0,0.2,0.0666667,0.3333333,0.6,0.8666667,0.6666667,0.6666667,0.2666667,0.2666667,0.6666667,0.0666667,0.7333333
101,39,0.4761905,13.4375,2.5,2,3.5,4.1875,3.875,3.6875,3.9375,3.625,2.25,2.3125,3.1875,2.0625,0.8666667,0.8666667,0.8,0.8,0.1428571,0.047619,0.2857143,0.7142857,0.5714286,0.5714286,0.5238096,0.4761905,0.4285714,0.2380952,0.1904762,0.4285714,0,0.2380952,0.3333333,0.6190476,0.3809524,0.4761905,0.2380952,0.1428571,0.2380952,0.1904762,0.6190476
102,36.88889,0.6923077,12.4,2.9,2.6,3.2,4.2,3.8,3.2,4.4,3.5,1.9,2,3.3,1.4,0.8,0.9,0.8,0.9,0.2307692,0.2307692,0.3846154,0.7692308,0.4615385,0.2307692,0.7692308,0.3846154,0.3846154,0.0769231,0.0769231,0.5384616,0,0.2307692,0.4615385,0.5384616,0.4615385,0.4615385,0.0769231,0,0.3846154,0.0769231,0.5384616
103,35.55556,0.5384616,11.88889,2.111111,2.888889,3.888889,4.555555,4.111111,4.333333,4.111111,4.111111,1.555556,2.111111,1.555556,2,0.9166667,0.9166667,0.9166667,0.9166667,0,0.2307692,0.4615385,0.6923077,0.4615385,0.5384616,0.5384616,0.6153846,0.5384616,0,0.0769231,0.0769231,0,0.3846154,0.7692308,0.8461539,0.8461539,0.5384616,0.3076923,0.0769231,0.5384616,0.0769231,0.7692308
104,34.41177,0.8823529,10.17647,3.058824,3.235294,3.411765,4.058824,3.352941,3.352941,4.294117,3.764706,1.823529,2.176471,2.529412,2.411765,1,1,1,1,0.3529412,0.4705882,0.5294118,0.8235294,0.4705882,0.5294118,0.8823529,0.7058824,0.7647059,0,0.1176471,0.2352941,0.0588235,0.2941177,0.4705882,0.5294118,0.2352941,0.2352941,0.1764706,0.0588235,0.3529412,0.0588235,0.4705882
105,36.33333,0.75,11.88889,2.333333,2.333333,3.888889,4.444445,3.666667,3.666667,4.222222,4,1.777778,2.555556,2.333333,1.888889,1,1,0.8571429,0.8571429,0.0833333,0.0833333,0.5833333,0.75,0.3333333,0.4166667,0.6666667,0.6666667,0.5833333,0,0.0833333,0.1666667,0,0.25,0.5,0.5833333,0.4166667,0.3333333,0.1666667,0.1666667,0.25,0.1666667,0.5
